DATE;OTERMP03MO;OTERMP06MO;OTERMP01YR;OTERMP02YR;OTERMP03YR;OTERMP05YR;OTERMP07YR;OTERMP10YR
1.2.1998;-0.000362434;-0.000256031;7.17017E-05;0.000821104;0.001467318;0.002466443;0.003364704;0.004788547
1.5.1998;-0.000355537;-0.000236732;3.92919E-05;0.000592391;0.001076596;0.001954981;0.002895035;0.004454118
1.6.1998;-0.000273483;-0.00019066;2.00647E-05;0.000507412;0.001007012;0.002009194;0.003044959;0.004619311
1.7.1998;-0.000223648;-0.000102128;0.000184349;0.000816078;0.001449003;0.002679939;0.003894455;0.005657957
1.8.1998;-0.00010449;0.000112367;0.000491622;0.001157185;0.001804407;0.003155509;0.004544867;0.006510915
1.9.1998;4.05279E-05;0.000298688;0.000688809;0.001309423;0.001958988;0.003443134;0.004966733;0.006980501
1.12.1998;0.000150481;0.000363965;0.00069558;0.001276791;0.001923598;0.003364602;0.00477282;0.006584568
1.13.1998;0.00009694;0.000344704;0.000711704;0.001297758;0.001922866;0.003330101;0.004729002;0.006539411
1.14.1998;0.00000159;0.000276238;0.000704359;0.00139995;0.002098408;0.00357456;0.004990963;0.006789055
1.15.1998;0.000042639;0.000342778;0.000820523;0.001599804;0.002359356;0.003909824;0.005362027;0.00717325
1.16.1998;-3.87065E-05;0.000308506;0.000860033;0.00170272;0.002451257;0.003935291;0.005378334;0.007281886
1.20.1998;-4.37985E-05;0.000305793;0.000903134;0.00187294;0.002709065;0.004234593;0.005647669;0.007532376
1.21.1998;-1.16531E-05;0.000347558;0.000941438;0.001869904;0.002664059;0.004148839;0.005567015;0.00749268
1.22.1998;7.33305E-05;0.000443639;0.001028175;0.001921541;0.002726048;0.00434872;0.005941419;0.008043482
1.23.1998;8.63162E-05;0.000454255;0.00108597;0.002147093;0.003113403;0.004949041;0.006640167;0.008784433
1.26.1998;5.93844E-05;0.000478406;0.001166265;0.00222943;0.00312687;0.004770016;0.006291469;0.008280994
1.27.1998;0.000012818;0.000391389;0.001053392;0.002143416;0.003066116;0.004678778;0.006121306;0.00802918
1.28.1998;-3.72604E-05;0.000329267;0.000969822;0.002015175;0.002887748;0.004408497;0.005797425;0.007697357
1.29.1998;-3.00929E-05;0.000377963;0.001031724;0.001982122;0.002730165;0.004075025;0.005397547;0.00731886
1.30.1998;2.20974E-05;0.000390857;0.000945012;0.001709141;0.002344337;0.003641583;0.005011686;0.006985257
2.2.1998;-5.78068E-05;0.000291874;0.000844996;0.001667899;0.002372627;0.003767321;0.005187899;0.007204314
2.3.1998;-7.9295E-06;0.000349341;0.00090122;0.001707797;0.002411731;0.003851093;0.005327074;0.00737654
2.4.1998;0.000014994;0.000383203;0.000930766;0.00169594;0.002366361;0.003790299;0.005282393;0.007350529
2.5.1998;8.97086E-05;0.000439097;0.000977492;0.001798568;0.002570614;0.004194414;0.005801929;0.007892749
2.6.1998;-1.17283E-05;0.000390517;0.00101025;0.001899955;0.002649593;0.004128379;0.005612883;0.007656714
2.9.1998;-1.93403E-05;0.000357238;0.000968275;0.001901855;0.002694091;0.004189691;0.005639726;0.00763246
2.10.1998;9.8995E-06;0.000391147;0.001001691;0.001917566;0.002689216;0.004158679;0.005602819;0.007607259
2.11.1998;-4.27921E-05;0.00032549;0.000892541;0.001691266;0.002339708;0.003592079;0.004870791;0.006714205
2.12.1998;-0.000088512;0.000259074;0.000812254;0.001634278;0.00232445;0.00365177;0.00498294;0.006880153
2.13.1998;-7.97552E-05;0.000256252;0.000774867;0.001517179;0.002140397;0.003391226;0.004701987;0.006617019
2.17.1998;-0.000131991;0.000173326;0.000645428;0.001326837;0.001907993;0.003095016;0.004355265;0.006212729
2.18.1998;-0.000128421;0.000147494;0.000596589;0.001299277;0.001927462;0.003200789;0.00451718;0.006414978
2.19.1998;-0.000120301;0.000151028;0.000606043;0.001345296;0.002013792;0.00334482;0.00468771;0.006587975
2.20.1998;-0.000110967;0.000151084;0.000594141;0.001323248;0.001988383;0.003315063;0.004650108;0.006531625
2.23.1998;-9.28994E-05;0.000169536;0.000640243;0.001459204;0.002203695;0.003610277;0.004949592;0.006787049
2.24.1998;-6.37237E-05;0.000156216;0.000606449;0.001497353;0.002343197;0.003888953;0.005263912;0.007024716
2.25.1998;-0.000298791;2.48907E-05;0.000622278;0.001597676;0.002345579;0.003545995;0.004690957;0.00645352
2.26.1998;-0.000189943;5.40823E-05;0.000551149;0.001461944;0.002224507;0.003494947;0.004674862;0.006422583
2.27.1998;-0.000196002;4.38145E-05;0.00053887;0.001462195;0.002246142;0.003550612;0.00473783;0.006464788
3.2.1998;-0.000138945;8.95798E-05;0.000605234;0.001646459;0.002569081;0.004106423;0.005450317;0.00731066
3.3.1998;-9.83421E-05;0.000135408;0.000679041;0.001806225;0.002816346;0.004474068;0.005859748;0.007691128
3.4.1998;-0.0001725;0.000111605;0.00073511;0.001937547;0.002939864;0.004487487;0.005771303;0.00754226
3.5.1998;-4.15039E-05;0.000208442;0.000774872;0.001926111;0.002946747;0.004608203;0.005984368;0.007786371
3.6.1998;-3.38051E-05;0.000247688;0.000817;0.001871798;0.00277423;0.004269568;0.005575799;0.007365625
3.9.1998;-9.32856E-05;0.000201675;0.000770772;0.001777866;0.002619867;0.004015599;0.005255819;0.006988147
3.10.1998;-0.000171389;0.000116043;0.000691512;0.001732524;0.002595046;0.0039871;0.005208429;0.006932928
3.11.1998;-0.000170547;8.87262E-05;0.000596772;0.001495209;0.002234266;0.003461512;0.004604337;0.006296667
3.12.1998;-0.000170207;7.69172E-05;0.00054676;0.001358807;0.002026816;0.00315859;0.004237352;0.005862145
3.13.1998;-0.00020988;-0.000001543;0.000414108;0.001174802;0.001830702;0.002982034;0.004093484;0.005755918
3.16.1998;-0.000167515;2.21144E-05;0.000389642;0.001071001;0.001695994;0.002867546;0.004007326;0.005650261
3.17.1998;-0.000218739;-2.28027E-05;0.000357535;0.00104925;0.001664443;0.002806112;0.003950274;0.005669565
3.18.1998;-0.000249793;-4.78405E-05;0.000358892;0.001111354;0.001768193;0.002944033;0.004101687;0.005848979
3.19.1998;-0.000289108;-0.000101214;0.000291685;0.001030541;0.001666317;0.002781466;0.003884852;0.005584946
3.20.1998;-0.000274293;-9.18247E-05;0.000299884;0.001050589;0.001697965;0.002816968;0.003905101;0.005573174
3.23.1998;-0.000272777;-0.000109431;0.00025425;0.000971523;0.001598954;0.002692345;0.003763369;0.005415709
3.24.1998;-0.000274909;-0.00012813;0.000221699;0.000945738;0.00158981;0.002699672;0.003761912;0.005384683
3.25.1998;-0.000376313;-0.000218194;0.000193837;0.001065571;0.00180697;0.002980594;0.004050619;0.00570188
3.26.1998;-0.000365163;-0.00022521;0.00018568;0.00109831;0.001870888;0.003045979;0.0040812;0.005679299
3.27.1998;-0.000360095;-0.000237315;0.000154252;0.001052414;0.001815367;0.002964692;0.003974219;0.005547858
3.30.1998;-0.000323515;-0.000210889;0.000185425;0.001140777;0.001976232;0.003243109;0.004316818;0.005915357
3.31.1998;-0.000310757;-0.000160141;0.000264804;0.001192907;0.0019779;0.003184251;0.004254986;0.005892405
4.1.1998;-0.0003525;-0.000181557;0.000246751;0.001110646;0.001808538;0.002880145;0.003889666;0.005520558
4.2.1998;-0.000365106;-0.000185249;0.000236703;0.00104862;0.001691383;0.002700947;0.003701995;0.005354028
4.3.1998;-0.000187526;-5.45377E-05;0.000252593;0.000884979;0.001463348;0.002516072;0.003567471;0.005185783
4.6.1998;-0.000279097;-0.0001515;0.000164078;0.000837599;0.001451382;0.002535881;0.00359304;0.005219589
4.7.1998;-0.00034845;-0.000206011;0.000160432;0.000945993;0.00164009;0.002797493;0.003876282;0.005520161
4.8.1998;-0.000297155;-0.000153709;0.000224029;0.001043642;0.001771574;0.002995404;0.004147031;0.005899549
4.9.1998;-0.000283214;-0.000139484;0.000241272;0.001063018;0.001779266;0.00294415;0.004015112;0.005650046
4.13.1998;-0.000303118;-0.000134177;0.000310748;0.001250743;0.002043514;0.00328817;0.004415128;0.006126739
4.14.1998;-0.000334468;-0.000118909;0.000359836;0.001251787;0.001958643;0.003094106;0.00421298;0.005984237
4.15.1998;-0.000597717;-0.000177241;0.000533551;0.001522061;0.002178354;0.003293903;0.004524049;0.006420747
4.16.1998;-0.00049489;-8.15275E-05;0.000602276;0.001543592;0.002189854;0.003349123;0.004622688;0.006526385
4.17.1998;-0.00045399;-5.35202E-05;0.000621452;0.001581832;0.002263377;0.003483515;0.004791682;0.006718685
4.20.1998;-0.00052788;-0.000045905;0.000712119;0.001703405;0.002385611;0.003654497;0.005021784;0.006969714
4.21.1998;-0.000706431;-9.59424E-05;0.000818273;0.001914124;0.002606137;0.003875387;0.005260336;0.007228269
4.22.1998;-0.000695259;-5.70816E-05;0.000873992;0.00194669;0.002610573;0.003859082;0.005243214;0.00721189
4.23.1998;-0.000518334;-5.5521E-06;0.000831658;0.001960025;0.002712863;0.004012273;0.005389845;0.007394167
4.24.1998;-0.000461967;1.81885E-05;0.000812242;0.001905083;0.002646965;0.003922996;0.005265817;0.007225473
4.27.1998;-0.000569761;-0.000022341;0.000877648;0.002122025;0.002983706;0.004453193;0.005908645;0.007900495
4.28.1998;-0.000625848;0.000007276;0.000986797;0.002225715;0.00303349;0.004446026;0.005902597;0.007912978
4.29.1998;-0.000686269;-3.2752E-06;0.00104412;0.002341364;0.003158834;0.004554043;0.00599032;0.007976509
4.30.1998;-0.00063401;9.74414E-05;0.001141468;0.002304637;0.003001263;0.004272026;0.005639535;0.007532206
5.1.1998;-0.000522175;0.00007474;0.000982327;0.002085054;0.002768241;0.003968182;0.005273909;0.007161281
5.4.1998;-0.000539441;1.39431E-05;0.000876386;0.001969084;0.002671696;0.003899196;0.005211714;0.007102909
5.5.1998;-0.000492138;1.40821E-05;0.000833934;0.00194385;0.002705173;0.004037311;0.00541181;0.007348131
5.6.1998;-0.000367069;9.26024E-05;0.000829872;0.001834918;0.002555115;0.003877561;0.005254746;0.007180266
5.7.1998;-0.000464812;0.000117878;0.000955673;0.001954688;0.002655476;0.004043294;0.005492158;0.00742535
5.8.1998;-0.000547816;6.39873E-05;0.00095895;0.002030807;0.002748426;0.00409865;0.005502782;0.007401568
5.11.1998;-0.00055657;5.64201E-05;0.00098083;0.002131031;0.002901781;0.004291922;0.005703068;0.007600166
5.12.1998;-0.000333289;7.58989E-05;0.000791217;0.001851017;0.00259831;0.003824138;0.005057089;0.006864893
5.13.1998;-0.000380209;2.85273E-05;0.000755553;0.001841754;0.002593946;0.003793234;0.005016065;0.006880113
5.14.1998;-0.000491466;-8.14417E-05;0.000639242;0.001694456;0.002415002;0.003583247;0.00479376;0.006621414
5.15.1998;-0.00035593;-7.51664E-05;0.000511728;0.001541624;0.002319672;0.003523063;0.004669801;0.006414223
5.18.1998;-0.00024626;-6.62508E-05;0.00039333;0.001352064;0.002156738;0.003390614;0.004459686;0.006050026
5.19.1998;-0.000452523;-9.28679E-05;0.000547246;0.001518076;0.002223777;0.003426595;0.004652241;0.006434885
5.20.1998;-0.000291786;-4.42753E-05;0.000444793;0.001275572;0.001917918;0.003002398;0.004112033;0.005820111
5.21.1998;-0.000331546;-0.000153524;0.000295002;0.00121039;0.001962482;0.003123189;0.004177887;0.005800999
5.22.1998;-0.00028835;-0.000138444;0.000270619;0.001152729;0.001900762;0.003059231;0.0040858;0.005645388
5.26.1998;-0.000508798;-0.00020831;0.000334137;0.001148963;0.001719473;0.002698252;0.003780525;0.005485144
5.27.1998;-0.0005173;-0.000197726;0.0003539;0.001154447;0.001725427;0.002761512;0.003906043;0.005640312
5.28.1998;-0.000494228;-0.000239198;0.000276304;0.001146193;0.001791552;0.002838439;0.003907411;0.005562897
5.29.1998;-0.001331994;-0.000149473;0.00084282;0.001411668;0.001925659;0.003209985;0.004419012;0.005880065
6.1.1998;-0.001424263;-6.49247E-05;0.000982669;0.00150566;0.002008032;0.003270262;0.004443647;0.005856624
6.2.1998;-0.001555433;-0.000100548;0.000972704;0.001473376;0.001972527;0.003224682;0.004377883;0.005758017
6.3.1998;-0.002465029;-6.13317E-05;0.001090205;0.001460816;0.002032834;0.00333133;0.004446102;0.005749277
